"year","name","team_id","bat_side","total_pa","pa_shifts","pa_shift_percent","woba_shift","pa_non_shifts","pa_non_shift_percent","woba_non_shift"
2017,"Canha, Mark",133,"R",187,0,"0.0",".000",187,"100.0",".276"
2017,"Hernández, César",143,"R",177,0,"0.0",".000",177,"100.0",".340"
2017,"Blanco, Andrés",143,"L",102,0,"0.0",".000",102,"100.0",".249"
2017,"Hernández, César",143,"L",397,0,"0.0",".000",397,"100.0",".347"
2017,"Alfaro, Jorge",143,"R",113,0,"0.0",".000",113,"100.0",".369"
2017,"Galvis, Freddy",143,"R",202,0,"0.0",".000",202,"100.0",".277"
2017,"Stewart, Chris",134,"R",139,0,"0.0",".000",139,"100.0",".213"
2017,"Díaz, Elias",134,"R",200,0,"0.0",".000",200,"100.0",".253"
2017,"Szczur, Matt",135,"R",235,0,"0.0",".000",235,"100.0",".312"
2017,"Torrens, Luis",135,"R",135,0,"0.0",".000",135,"100.0",".192"
2017,"Aybar, Erick",135,"R",105,0,"0.0",".000",105,"100.0",".279"
2017,"Solarte, Yangervis",135,"R",140,0,"0.0",".000",140,"100.0",".249"
2017,"Spangenberg, Cory",135,"L",477,0,"0.0",".000",477,"100.0",".316"
2017,"Dyson, Jarrod",136,"L",386,0,"0.0",".000",386,"100.0",".292"
2017,"Heredia, Guillermo",136,"R",423,0,"0.0",".000",423,"100.0",".286"
2017,"Ruiz, Carlos",136,"R",144,0,"0.0",".000",144,"100.0",".292"
2017,"Arroyo, Christian",137,"R",129,0,"0.0",".000",129,"100.0",".240"
2017,"Slater, Austin",137,"R",127,0,"0.0",".000",127,"100.0",".323"
2017,"Pence, Hunter",137,"R",536,0,"0.0",".000",536,"100.0",".300"
2017,"Tomlinson, Kelby",137,"R",220,0,"0.0",".000",220,"100.0",".286"
2017,"Hernández, Gorkys",137,"R",344,0,"0.0",".000",344,"100.0",".286"
2017,"Panik, Joe",137,"L",563,0,"0.0",".000",563,"100.0",".324"
2017,"Posey, Buster",137,"R",553,0,"0.0",".000",553,"100.0",".367"
2017,"Voit, Luke",138,"R",123,0,"0.0",".000",123,"100.0",".319"
